bag_verblijfsobject_id,nummer,soort_woning
0599010400035304,23133000087,Onzelfstandig
0599010400021894,20005000028,Onzelfstandig
0599010110003335,51158000071,Onzelfstandig
0599010110012342,51159000003,Onzelfstandig
0599010000325571,51159000031,Onzelfstandig
0599010000326234,51159000072,Onzelfstandig
0599010110008633,12122000048,Onzelfstandig
0599010110005500,75077000023,Onzelfstandig
0599010110005511,75077000031,Onzelfstandig
0599010110009806,36202000032,Onzelfstandig
0599010000325609,51160000042,Onzelfstandig
0599010110017126,36205000042,Onzelfstandig
0599010110024871,71526000071,Onzelfstandig
0599010000325775,51161000002,Onzelfstandig
0599010000362753,71381000004,Zelfstandig
0599010000142233,90771000025,Zelfstandig
0599010000078435,71251000051,Zelfstandig
0599010000064610,71701000011,Zelfstandig
0599010000251849,87619000008,Zelfstandig
0599010000251855,87651000001,Zelfstandig
0599010000082626,48361000040,Zelfstandig
0599010000247706,11041000011,Zelfstandig
0599010000166744,44883000017,Zelfstandig
0599010000255089,11592000002,Zelfstandig
0599010000034450,45932000040,Zelfstandig
0599010000251373,87411000041,Zelfstandig
0599010000261177,85071000009,Zelfstandig
0599010000299168,87719000019,Zelfstandig
0599010000069755,74281000002,Zelfstandig
0599010000117501,48462000136,Zelfstandig
0599010000018511,48423000134,Zelfstandig
0599010000077625,74611000025,Zelfstandig
0599010000247290,11661000037,Zelfstandig
0599010000250730,87701000019,Zelfstandig
0599010000125516,85551000059,Zelfstandig
0599010000343486,48942000004,Zelfstandig
0599010000322994,74201000089,Zelfstandig
0599010000292186,48411000038,Zelfstandig
0599010000043586,48461000133,Zelfstandig
0599010000253021,11061000024,Zelfstandig
0599010000285376,85011000024,Zelfstandig
0599010000236404,48411000026,Zelfstandig
0599010000193148,77441000006,Zelfstandig
0599010000323598,74251000128,Zelfstandig
0599010400004285,74341000006,Zelfstandig
0599010000117248,90772000043,Zelfstandig
0599010000068025,77511000016,Onzelfstandig
0599010000053693,89611000047,Zelfstandig
0599010000077748,71251000012,Zelfstandig
0599010000336066,74271000033,Zelfstandig
0599010000248550,11502000014,Zelfstandig
0599010000335898,11393000021,Zelfstandig
0599010000095774,87772000029,Zelfstandig
0599010000167690,48464000112,Zelfstandig
0599010000204055,49431000005,Zelfstandig
0599010000377491,77221000018,Zelfstandig
0599010000250480,87431000032,Zelfstandig
0599010000348323,11461000007,Onzelfstandig
0599010000069199,87682000024,Zelfstandig
0599010000373983,63601000035,Zelfstandig
0599010000322878,74892000001,Zelfstandig
0599010000015308,77451000033,Zelfstandig
0599010000077916,71263000011,Zelfstandig
0599010000250535,87371000013,Zelfstandig
0599010000253165,11401000004,Zelfstandig
0599010000040341,48436000008,Zelfstandig
0599010000247574,88081000060,Zelfstandig
0599010000334337,11641000026,Zelfstandig
0599010000253404,87617000018,Zelfstandig
0599010000262729,87710000006,Zelfstandig
0599010000248267,11585000020,Zelfstandig
0599010000421231,49371000019,Zelfstandig
0599010000068034,77772000019,Zelfstandig
